subject_id;trial;block;cond_order;stim1;size;circle_pos;gabor_contrast;response;expected_gabor;rt_gabor;max_speed;x_pos;y_pos;center_distance;total_distance;accuracy_gabor;cursor_av_speed;move_start_time;OOZ_time;SDT;pressed_conf;conf;rt_conf;trial_start_time;view_again;meta_evaluation;meta_accuracy;exp_start_date
1;1;1;A;0;small;up;0.017;right;right;1.3854;106.80274585384576;12.132;9.0368;0.1370084693671892;15.419255464017263;1;10.919332564934917;0.6035512999515049;0.6701689999899827;hit;RIGHT;N;1.1582;0;0;-1;-1;14:23:53
1;2;1;A;90;big;up;0.017;right;left;1.3347;129.6197700189378;11.1153;9.4209;0.9797083219538234;16.190837364172726;0;10.917185920729008;0.553712600027211;0.6035758000216447;FA;RIGHT;O;0.9247;10436;1;I;right;14:23:53
1;3;1;A;0;small;mid;0.017;right;right;1.685;149.4917400528238;14.9334;0.0226;0.0703435275174576;16.703366948280387;1;8.862497879327512;0.6033009000238962;0.7533912000362761;hit;RIGHT;N;1.5926;19163;0;-1;-1;14:23:53
1;4;1;A;90;big;down;0.017;left;left;1.5184;106.686027205213;-10.6183;-7.975;1.7203828894032844;14.418814087923211;1;8.745986186052846;0.704980299982708;1.053923900006339;CR;LEFT;O;0.708;25199;1;C;right;14:23:53
1;5;1;A;0;big;up;0.017;right;right;1.8695;167.2699351193598;11.6123;8.3817;0.7297995136930504;30.88027705374361;1;7.660407492001431;0.11982630001148209;0.5669750000233762;hit;-1;0;0.8581;37802;0;-1;-1;14:23:53
1;6;1;A;90;small;down;0.017;left;left;1.3357;118.35211002121089;-11.8609;-8.8787;0.18459421136243623;14.895269376629214;1;11.091984115853622;0.5530902000027709;0.5871061999932863;CR;LEFT;O;0.6585;43078;1;C;right;14:23:53
1;7;1;A;90;small;up;0.017;left;left;1.8186;133.7869270415121;-11.8834;9.0594;0.13083106068940864;16.152775482729485;1;8.216902523509816;0.8035513999639079;0.8700196999707259;CR;RIGHT;N;1.346;50211;0;-1;-1;14:23:53
1;8;1;A;90;big;mid;0.017;left;left;0.9856;124.01321606411182;-13.3068;-0.0904;1.6956583859096401;13.353020840655176;1;13.50164391687936;0.4868834000080824;0.5370753000024706;CR;RIGHT;O;0.7367;55894;1;C;left;14:23:53
1;9;1;A;0;big;mid;0.017;right;right;1.1017;108.39551732256562;13.5779;0.1356;1.4285888784949745;13.583634573761628;1;12.325394411774823;0.47006889997282997;0.5201987999607809;hit;RIGHT;N;0.7074;62470;0;-1;-1;14:23:53
1;10;1;A;90;big;mid;0.017;left;left;1.0018;134.79099576905705;-13.4423;-0.2937;1.5851419269506708;13.447672837655153;1;13.421831957280304;0.48702360002789646;0.553465300006792;CR;RIGHT;O;0.7249;66811;1;C;left;14:23:53
1;11;1;A;0;big;down;0.017;right;right;0.8025;137.97284330299757;12.2675;-8.6754;0.42065312055666104;15.595481482474163;1;18.723368977655454;0.3870217999792658;0.45392569998512045;hit;RIGHT;N;1.7431;73531;0;-1;-1;14:23:53
1;12;1;A;0;big;mid;0.017;left;right;1.2181;111.48472503121633;-13.239;0.113;1.7646441432780224;13.294492768592717;0;10.868541208227109;0.6199953000177629;0.687138999986928;miss;RIGHT;O;0.6892;78766;1;C;left;14:23:53
1;13;1;A;90;big;down;0.017;left;left;1.1676;80.20663334853982;-10.7087;-8.2009;1.5185737910372283;13.59432216106147;1;11.552426344297626;0.4882299000164494;0.5550586000317708;CR;RIGHT;N;0.8036;85779;0;-1;-1;14:23:53
1;14;1;A;0;big;up;0.017;left;right;0.9014;107.85143744456286;-10.6861;8.2687;1.5037297811561636;14.536134038505002;0;14.98902284610307;0.4202633000095375;0.4535248000174761;miss;RIGHT;O;0.7583;90402;1;C;left;14:23:53
1;15;1;A;90;small;mid;0.017;left;left;1.7527;125.07891777014612;-14.8204;0.1581;0.2392860454904746;14.866211707671278;1;8.45625452870123;0.9371697999886237;1.0040444000042044;CR;RIGHT;O;2.0919;97444;1;C;left;14:23:53
1;16;1;A;90;small;mid;0.017;left;left;1.9015;113.58122608554186;-15.0915;-0.0678;0.11389021785326811;15.24077836705591;1;7.936671082962324;0.9868245999678038;1.2035353999817744;CR;LEFT;N;1.0247;106061;0;-1;-1;14:23:53
1;17;1;A;0;big;down;0.017;left;right;1.7849;179.82431508810896;-11.906;-8.585;0.4255027773472818;15.566369486543593;0;8.22344879655701;1.270929199992679;1.321233500028029;miss;LEFT;O;1.2085;111528;1;C;right;14:23:53
1;18;1;A;0;small;mid;0.017;left;right;2.1688;117.46891394943775;-14.9786;0.0226;0.03114100823590196;15.159511451468932;0;6.9064350008207605;0.7038015000289306;1.454405200027395;miss;LEFT;N;1.8225;119964;0;-1;-1;14:23:53
1;19;1;A;90;big;up;0.017;left;left;1.0345;186.02208685283932;-12.4257;9.7824;0.8906785344811127;16.58271657645016;1;15.286217093925684;0.4537743999972008;0.5205641000065953;CR;LEFT;O;1.4758;126510;1;C;right;14:23:53
1;20;1;A;90;small;down;0.017;left;left;1.4514;180.42149083639933;-11.8609;-9.0594;0.15130582771091663;22.90247809863127;1;10.282938700049131;0.45363519998500124;0.5036631999537349;CR;RIGHT;O;1.6096;134353;1;C;right;14:23:53
1;21;1;A;0;small;down;0.017;left;right;1.3351;106.1799888217069;-12.0642;-8.7883;0.2211877553286093;16.17728711790948;0;11.179471137140402;0.5220276000327431;0.5879440000280738;miss;RIGHT;N;1.2238;144719;0;-1;-1;14:23:53
