3,39,same1,1,cue,left,-1.0,-1,-1,x,x,-1.0,0.21414409996941688,-1,1,none,none,124844,40651,15:50:30.152415,same
3,40,same1,1,cue,right,-1.0,-1,-1,n,n,-1.0,0.31479500001296395,-1,1,none,none,127394,40651,15:50:30.152415,same
3,41,same1,2,cue,right,-1.0,-1,-1,n,n,-1.0,0.197086300002411,-1,1,none,none,176042,40651,15:50:30.152415,same
3,42,same1,2,gabor,90,0.02468824731780965,n,x,-1,x,0.4670443000504747,-1.0,0,-1,incongruent,FA,178624,40651,15:50:30.152415,same
3,43,same1,2,gabor,0,0.02468824731780965,n,n,-1,n,0.4683791999705136,-1.0,1,-1,congruent,hit,181525,40651,15:50:30.152415,same
3,44,same1,2,cue,left,-1.0,-1,-1,x,x,-1.0,0.20940000005066395,-1,1,none,none,184526,40651,15:50:30.152415,same
3,45,same1,2,cue,right,-1.0,-1,-1,n,n,-1.0,0.3601163999410346,-1,1,none,none,187175,40651,15:50:30.152415,same
3,46,same1,2,gabor,90,0.02468824731780965,n,x,-1,n,0.4500305000692606,-1.0,0,-1,congruent,FA,189975,40651,15:50:30.152415,same
3,47,same1,2,gabor,90,0.02468824731780965,x,x,-1,n,0.5135469000088051,-1.0,1,-1,incongruent,CR,192959,40651,15:50:30.152415,same
3,48,same1,2,gabor,90,0.02468824731780965,x,x,-1,n,0.4290400999598205,-1.0,1,-1,incongruent,CR,196008,40651,15:50:30.152415,same
3,49,same1,2,gabor,0,0.02468824731780965,n,n,-1,n,0.5859679999994114,-1.0,1,-1,congruent,hit,198875,40651,15:50:30.152415,same
3,50,same1,2,cue,left,-1.0,-1,-1,x,x,-1.0,0.19283280009403825,-1,1,none,none,201791,40651,15:50:30.152415,same
3,51,same1,2,gabor,90,0.02468824731780965,n,x,-1,n,0.5039639000315219,-1.0,0,-1,congruent,FA,204424,40651,15:50:30.152415,same
3,52,same1,2,cue,right,-1.0,-1,-1,n,n,-1.0,0.3803173999767751,-1,1,none,none,207459,40651,15:50:30.152415,same
3,53,same1,2,gabor,0,0.02468824731780965,n,n,-1,n,0.5900036999955773,-1.0,1,-1,congruent,hit,212507,40651,15:50:30.152415,same
3,54,same1,2,gabor,90,0.02468824731780965,n,x,-1,n,0.3467627000063658,-1.0,0,-1,congruent,FA,215524,40651,15:50:30.152415,same
3,55,same1,2,gabor,0,0.02468824731780965,x,n,-1,x,0.7873232000274584,-1.0,0,-1,congruent,miss,218206,40651,15:50:30.152415,same
3,56,same1,2,cue,left,-1.0,-1,-1,x,x,-1.0,0.15668470005039126,-1,1,none,none,223757,40651,15:50:30.152415,same
3,57,same1,2,cue,left,-1.0,-1,-1,x,x,-1.0,0.28418110008351505,-1,1,none,none,226440,40651,15:50:30.152415,same
3,58,same1,2,gabor,0,0.02468824731780965,x,n,-1,x,0.903496399987489,-1.0,0,-1,congruent,miss,229056,40651,15:50:30.152415,same
3,59,same1,2,cue,left,-1.0,-1,-1,x,x,-1.0,0.3880657999543473,-1,1,none,none,232390,40651,15:50:30.152415,same
3,60,same1,2,cue,right,-1.0,-1,-1,n,n,-1.0,0.3466850999975577,-1,1,none,none,237540,40651,15:50:30.152415,same
3,61,same1,2,cue,right,-1.0,-1,-1,n,n,-1.0,0.26146950002294034,-1,1,none,none,240223,40651,15:50:30.152415,same
3,62,same1,2,cue,left,-1.0,-1,-1,x,x,-1.0,0.2122177000856027,-1,1,none,none,242823,40651,15:50:30.152415,same
