"subject_id","trial","block","condition","stim1","size","position","gabor.contrast","response","expected_response","rt_gabor","max_speed","x_pos","y_pos","center_dist","total_dist","accuracy_gabor","avr_speed","move_start_time","OOZ_time","SDT","pressed_conf","conf","rt_conf","trial_start_time_rel2exp","exp_start_date"
1,25,2,"A",0,"small","up",0.043,"left","right",2.4005,83.9000690844984,-12.1094,8.9465,0.1217649073079,16.2870705195542,0,6.2720580045124,0.938164799999868,1.65425479999976,"miss","BR",1,1.8067,161361,NA
1,26,2,"A",90,"big","down",0.043,"left","left",1.5001,102.604034943816,-10.0083,-8.5398,2.04416804248357,13.4454407821464,1,8.77030391845285,0.688742299999831,1.03914499999973,"CR","BL",3,1.5774,173061,NA
1,27,2,"A",90,"small","down",0.043,"left","left",2.2322,68.5806221246408,-11.906,-9.0143,0.0950338806362206,15.3626109420108,1,6.69004698297348,0.622610800000075,1.52124099999946,"CR","BL",2,1.1607,178277,NA
1,28,2,"A",0,"big","down",0.043,"right","right",1.7672,79.9434572117358,11.3638,-9.5791,0.860241367760698,17.94019794178,1,8.41013975774128,0.554865399999471,1.10573279999971,"hit","TR",3,1.2567,183912,NA
1,29,2,"A",0,"big","down",0.043,"left","right",1.7009,95.8461360231314,-10.5731,-8.5398,1.49926454293116,14.8795678670226,0,7.99077365710971,0.702803599999243,1.20616849999988,"miss","TL",1,1.193,189078,NA
1,30,2,"A",0,"small","down",0.043,"left","right",2.6836,59.4978288485352,-11.9964,-9.0368,0.037017614878776,16.0531934177912,0,5.59678627184289,0.989204600000448,1.6363192000008,"miss","TL",2,1.494,194212,NA
1,31,2,"A",90,"big","mid",0.043,"left","left",2.0831,63.4854013501625,-13.5779,-0.2711,1.44775334326309,14.3967294930025,1,6.51932965335145,0.651597600000059,1.35452580000037,"CR","TL",2,0.9097,200628,NA
1,32,2,"A",90,"small","down",0.043,"right","left",2.2329,52.835019361497,12.0416,-8.9239,0.0867403042958828,15.9089263563254,0,6.71217210254837,0.851857399999972,1.45464979999997,"FA","BR",1,1.2233,205761,NA
1,33,2,"A",90,"small","mid",0.043,"left","left",2.3003,91.4224089315353,-15.0012,-0.1356,0.135557604116215,17.1900396837327,1,6.52177906864159,0.773228600000039,1.6392807000002,"CR","TR",1,1.1931,211561,NA
1,34,2,"A",90,"small","up",0.043,"left","left",2.3994,37.8078838600305,-12.0868,8.9917,0.0871775249397045,15.4142650790687,1,6.27847071285903,1.40180610000061,1.53512660000069,"CR","TL",2,1.5557,217395,NA
